Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM
s,i_s,0.04195570945739746,0.08112549781799316,0.09026169776916504,0,87.63
<space>,s_<space>,0.014324188232421875,0.10458588600158691,0.07056927680969238,0,87.63
u,<space>_u,0.15974211692810059,0.23031139373779297,0.055901288986206055,0,87.63
s,u_s,0.041910409927368164,0.09781169891357422,0.07367920875549316,0,87.63
e,s_e,0.07982563972473145,0.1535048484802246,0.07986211776733398,0,87.63
r,e_r,0.07318925857543945,0.15305137634277344,0.07927536964416504,0,87.63
<space>,r_<space>,0.12678980827331543,0.05360054969787598,0.0658121109008789,1,87.63
1,<space>_1,0.07404518127441406,0.13985729217529297,0.0765845775604248,0,87.63
<space>,1_<space>,0.14349007606506348,0.22007465362548828,0.09114527702331543,0,87.63
c,<space>_c,0.20102453231811523,0.29216980934143066,0.06608462333679199,0,87.63
n,a_n,0.11709856986999512,0.03783845901489258,0.051894426345825195,1,87.63
a,c_a,0.07926011085510254,0.14534473419189453,0.09382772445678711,0,87.63
<space>,n_<space>,0.06193256378173828,0.11792182922363281,0.06387495994567871,0,87.63
y,<space>_y,0.14429283142089844,0.20816779136657715,0.0608217716217041,0,87.63
o,y_o,0.11171865463256836,0.17254042625427246,0.04435014724731445,0,87.63
u,o_u,0.07697343826293945,0.1213235855102539,0.041954994201660156,0,87.63
<space>,u_<space>,0.024435043334960938,0.0663900375366211,0.08297514915466309,0,87.63
p,<space>_p,0.07388424873352051,0.1568593978881836,0.046912193298339844,0,87.63
r,p_r,0.03719830513000488,0.08411049842834473,0.0591282844543457,0,87.63
e,r_e,0.06605124473571777,0.12517952919006348,0.05545926094055176,0,87.63
d,e_d,0.07091474533081055,0.1263740062713623,0.06609869003295898,0,87.63
i,d_i,0.0050008296966552734,0.07109951972961426,0.06420493125915527,0,87.63
c,i_c,0.010593891143798828,0.0747988224029541,0.09505271911621094,0,87.63
t,c_t,0.10008978843688965,0.19514250755310059,0.07416057586669922,0,87.63
