SL.no.,Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM
1368,a,e_a,0.1138064861297607,0.2040176391601562,0.0696077346801757,0,82.66
1369,l,a_l,0.1805429458618164,0.0667364597320556,0.0662050247192382,1,82.66
1370,l,l_l,0.0977044105529785,0.1639094352722168,0.0988440513610839,0,82.66
1371,y,l_y,0.0009036064147949,0.0997476577758789,0.0710411071777343,0,82.66
1372,<space>,y_<space>,0.0076045989990234,0.0786457061767578,0.0999782085418701,0,82.66
1373,l,<space>_l,0.0276582241058349,0.127636432647705,0.0730388164520263,0,82.66
1374,o,l_o,0.1126637458801269,0.1857025623321533,0.0331296920776367,0,82.66
1375,o,o_o,0.0977125167846679,0.1308422088623047,0.0515277385711669,0,82.66
1376,k,o_k,0.1151285171508789,0.1666562557220459,0.0358502864837646,0,82.66
1377,i,k_i,0.0984206199645996,0.1342709064483642,0.0599565505981445,0,82.66
1378,g,i_g,0.0713427066802978,0.1312992572784423,0.0976200103759765,0,82.66
1379,n,g_n,0.1258180141448974,0.0544753074645996,0.0845320224761962,1,82.66
1380,<space>,n_<space>,0.042914867401123,0.1274468898773193,0.0877208709716796,0,82.66
1381,f,<space>_f,0.0164499282836914,0.1041707992553711,0.088602066040039,0,82.66
1382,o,f_o,0.0272905826568603,0.1158926486968994,0.1015322208404541,0,82.66
1383,r,o_r,0.0896277427673339,0.0623371601104736,0.0825881958007812,1,82.66
1384,w,r_w,0.1160073280334472,0.1985955238342285,0.0798335075378418,0,82.66
1385,a,w_a,0.0811145305633544,0.1609480381011963,0.074143648147583,0,82.66
1386,r,a_r,0.1080191135406494,0.1821627616882324,0.0928916931152343,0,82.66
1387,d,r_d,0.0954115390777587,0.1883032321929931,0.0577614307403564,0,82.66
1388,<space>,d_<space>,0.1491780281066894,0.0537664890289306,0.0767126083374023,1,82.66
1389,t,<space>_t,0.0675764083862304,0.1442890167236328,0.0681376457214355,0,82.66
1390,o,t_o,0.098315954208374,0.0307395458221435,0.1152448654174804,1,82.66
1391,<space>,o_<space>,0.0614280700683593,0.0988261699676513,0.071946382522583,0,82.66
1392,g,<space>_g,0.1033935546875,0.175339937210083,0.109018325805664,0,82.66
1393,e,g_e,0.1573579311370849,0.0539643764495849,0.0663263797760009,1,82.66
1394,t,e_t,0.1224548816680908,0.1887812614440918,0.0484607219696044,0,82.66
1395,t,t_t,0.0757513046264648,0.1242120265960693,0.0977659225463867,0,82.66
1396,i,t_i,0.0061924457550048,0.1039583683013916,0.078341007232666,0,82.66
1397,g,i_g,0.0154130458831787,0.0937540531158447,0.0636324882507324,0,82.66
1398,n,g_n,0.0387072563171386,0.1023397445678711,0.0830624103546142,0,82.66
1399,<space>,n_<space>,0.110062837600708,0.0713555812835693,0.0574846267700195,1,82.66
1400,a,<space>_a,0.0427765846252441,0.054483413696289,0.0830488204956054,0,82.66
1401,n,a_n,0.0392565727233886,0.1223053932189941,0.0649981498718261,0,82.66
1402,m,n_m,0.2464406490325927,0.3114387989044189,0.0702927112579345,0,82.66
1403,o,m_o,0.1146283149719238,0.1849210262298584,0.103245735168457,0,82.66
1404,r,o_r,0.1846628189086914,0.0700345039367675,0.0713684558868408,1,82.66
1405,e,r_e,0.0815882682800293,0.1529567241668701,0.083552598953247,0,82.66
1406,<space>,e_<space>,0.1587946414947509,0.0772063732147216,0.1390957832336425,1,82.66
1407,a,<space>_a,0.1256418228149414,0.1319880485534668,0.0386292934417724,0,82.66
1408,c,a_c,0.1374163627624511,0.1760456562042236,0.0433533191680908,0,82.66
1409,c,c_c,0.0954091548919677,0.1387624740600586,0.0528981685638427,0,82.66
1410,u,c_u,0.0680124759674072,0.12091064453125,0.0889942646026611,0,82.66
1411,r,u_r,0.0060694217681884,0.0950636863708496,0.0802137851715087,0,82.66
1412,a,r_a,0.1168932914733886,0.1971070766448974,0.0871455669403076,0,82.66
